Year,Country,Lender,Lender Type ,USD (M),Sum
2016,Angola,"MixedCN: Industrial and Commercial Bank of China Ltd. (ICBC), Export-Import Bank of China (CHEXIM), Bank of China (BoC), China Construction Bank (CCB), China Minsheng Bank, Ping An Bank Co., Ltd., Bank of China (BoC)",Other CN,3700,18812
2016,Cameroon,CHEXIM,Policy Banks ,135,499
2016,Cote d'Ivoire,CHEXIM,Policy Banks ,52,52
2016,Djibouti,CHEXIM,Policy Banks ,20,365
2016,Democratic Republic of Congo,CHEXIM,Policy Banks ,2,127
2016,Egypt,CDB,Policy Banks ,900,1700
2016,Equatorial Guinea,CHEXIM,Policy Banks ,290,290
2016,Ethiopia,CHEXIM,Policy Banks ,117,824
2016,Gabon,CHEXIM,Policy Banks ,103,103
2016,Ghana,ICBC,Commercial Banks ,88,173
2016,Kenya,CHEXIM,Policy Banks ,225,924
2016,Malawi,CHEXIM,Policy Banks ,23,23
2016,Mauritius,CIDCA,Other CN Gov,7,7
2016,Rwanda,CHEXIM,Policy Banks ,71,71
2016,Senegal,CHEXIM,Policy Banks ,79,182
2016,South Africa,CDB,Policy Banks ,500,750
2016,Togo,CIDCA,Other CN Gov,62,106
2016,Uganda,CHEXIM,Policy Banks ,85,85
2016,Zambia,CDB,Policy Banks ,30,2177
2016,Zimbabwe,CHEXIM,Policy Banks ,998,998
