country,influence,posneg,count
Algeria,25.51796283,1643.52,3337.252512
Angola,12.40851593,2690.09,1603.993477
Benin,2.321623341,75.46,1237.949295
Botswana,8.963170065,190.43,5863.203241
Burkina Faso,0.678482793,1.71,833.2443426
Burundi,9.322767695,10.52,216.8267413
Cameroon,4.678371283,442.74,1539.130559
Cape Verde,2.024549366,2.82,2924.101807
Central African Republic,14.88427485,14.99,435.4692516
Comoros,1.503757679,1.18,1519.586823
Democratic Republic of the Congo,11.47321023,3688.13,524.6666754
Republic of the Congo,0.299293543,1130.88,1838.448139
Cote d'Ivoire,11.92571914,666.85,2288.119498
Djibouti,2.691017616,98.83,2917.996281
Equatorial Guinea,5.087963854,336.01,6327.599012
Ethiopia,4.125657623,2992.8,918.6525941
Gabon,2.818368476,259.19,6680.08267
The Gambia,10.5264163,19.03,704.029916
Ghana,23.35242084,1584.03,2176.579459
Guinea,1.224364507,472.82,1073.659337
Guinea Bissau,15.66448778,24.27,710.2581385
Kenya,22.74031647,2154.3,1936.424589
Lesotho,5.09557239,17.58,989.8471707
Liberia,0.324710546,168.88,597.5296919
Libya,5.33849785,155.37,7568.042011
Madagascar,9.367585883,390.74,462.4042237
Malawi,11.70182685,173.16,628.699482
Mali,2.47649464,308.21,822.906144
Mauritania,0.002878405,182.95,1868.466574
Mauritius,3.971257968,886.71,9007.419102
Morocco,2.013913848,383.47,3258.121338
Mozambique,5.566564376,1317.49,449.9552098
Namibia,6.229170474,354.89,4251.172766
Niger,3.896856419,1176.62,564.8220018
Nigeria,12.39797787,2367.54,2074.613928
Rwanda,3.207279249,170.8,774.6892594
Sao Tome and Principe,7.806496627,1.99,2161.310196
Senegal,14.81109391,426.76,1490.203137
Sierra Leone,1.923950778,134.17,493.4787775
Sudan,4.312560729,1120.3,608.3325195
Tanzania,1.384909238,1541,1042.09668
Togo,3.861776685,99.45,897.1945754
Tunisia,7.274036714,29.09,3497.68141
Uganda,3.911465546,711.96,846.7672013
Zambia,11.80785701,3055,956.8313639
Zimbabwe,6.800245961,1795.8,1372.696674
