value,year
3.777387797,1968
5.041930251,1969
3.648031146,1970
2.796735536,1971
3.898442762,1972
13.64792683,1973
14.35500805,1974
6.851332264,1975
3.303697409,1976
6.279633883,1977
8.795676657,1978
14.53727217,1979
12.93290339,1980
8.57144227,1981
3.344494064,1982
2.903103657,1983
2.975966252,1984
1.414777245,1985
-3.13341296,1986
5.300650288,1987
3.609843229,1988
4.579573558,1989
8.455704209,1990
0.488668458,1991
2.563109336,1992
1.714058764,1993
2.170319646,1994
1.25200619,1995
3.744510139,1996
0.464556806,1997
-0.362947525,1998
4.114750949,1999
5.116104383,2000
-0.617690285,2001
1.450743842,2002
2.520706604,2003
5.922278508,2004
8.160588433,2005
0.808217758,2006
7.199949354,2007
2.233607308,2008
3.92529935,2009
2.911315029,2010
7.071208308,2011
1.691049036,2012
-0.192011843,2013
-0.690429644,2014
-3.597641428,2015
0.512167063,2016
2.43330655,2017
1.599888417,2018
0.388024092,2019
0.739689208,2020
17.22812367,2021
.,
