year,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cameroon,Cape Verde,Central African Republic,Chad,Comoros,Democratic Republic of the Congo,Djibouti,Egypt,Equatorial Guinea,Eritrea,Eswatini,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Ivory Coast,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Republic of Congo,Rwanda,Sao Tome and Principe,Senegal,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Tanzania,"Tanzania, United Republic of",Togo,Tunisia,Uganda,Western Sahara,Zambia,Zimbabwe
2010,9.96,9.43,1.04,17.86,3.626,1.606,4.11,10.67,5.518,0.952,6.686,4.017,27.194,8.756,8.398,5.892,26.39,2.336,20.39,9.231,5.38,4.782,3.104,6.776,2.846,16.867,2.27,19.308,4.28,4.941,1.333,9.895,7.65,9.09,3.229,22.12,0.771,3.755,20.019,11.895,14.585,10.233,4.175,19.174,23.18,12.138,15.13,2.99,,2.427,13.05,3.587,6.482,13.19,5.189
2011,9.96,7.36,2.65,18.152,3.78,1.602,3.967,10.874,5.457,1.005,7.037,4.254,26.971,11.849,8.299,5.782,25.811,2.311,20.418,9.607,4.223,4.795,3.093,7.215,2.859,16.872,2.212,19.446,2.438,4.968,1.352,9.869,7.45,8.91,3.263,19.46,0.32,3.77,20.19,11.877,14.105,10.36,4.295,19.173,21.42,12.203,17.44,,3.47,1.98,18.33,3.491,6.691,10.585,5.37
2012,10.97,8.064,2.454,18.416,3.912,1.589,3.817,11.127,5.44,1,7.407,4.49,26.873,12.597,8.191,5.693,25.106,2.292,20.489,9.42,3.225,4.816,3.16,7.22,2.844,16.813,2.162,19.03,0.6,5.004,1.385,9.86,7.47,8.99,3.304,16.77,2.18,3.75,20.122,11.858,13.59,9.41,4.375,19.161,21.79,12.342,17.668,,3.256,2.034,17.63,3.55,6.764,7.85,5.139
2013,9.82,8.834,2.254,18.538,4.052,1.576,3.675,11.357,5.452,1.027,7.74,4.468,26.714,13.154,8.084,5.63,24.524,2.25,20.507,8.592,2.17,4.883,3.14,4.25,2.831,16.916,2.11,19.46,0.998,4.98,1.372,9.967,7.32,9.23,3.347,19.03,1.381,3.7,20.34,11.906,13.617,8.589,4.469,19.066,22.04,12.036,17.405,,2.93,2.09,15.93,1.91,6.753,8.005,4.994
2014,10.21,9.58,2.111,18.894,4.206,1.57,3.53,11.586,5.577,1.042,8.14,4.449,26.51,13.105,8.097,5.678,23.973,2.412,20.565,7.786,4.495,4.916,3.163,3.475,2.796,16.904,2.08,19.611,1.391,4.968,1.349,10.066,7.47,9.7,3.384,18.52,0.52,3.944,20.274,11.876,13.64,7.625,4.68,19.01,22.61,12.139,17.385,,2.12,2.145,14.26,2.323,6.818,8.133,4.77
2015,11.21,9.584,2.023,19.299,4.344,1.477,3.546,11.81,5.737,1.072,8.14,4.457,26.337,13.052,8.205,5.797,23.317,2.573,20.601,6.814,6.81,4.942,3.142,2.697,2.774,16.852,2.577,19.521,1.79,4.987,1.361,10.152,7.41,9.46,3.43,20.895,0.532,4.221,20.485,11.828,13.78,6.76,4.437,18.877,22.87,12.29,17.444,,2.144,2.2,15.16,2.749,7.067,8.28,5.282
2016,10.2,9.586,1.836,19.315,4.44,1.315,3.572,12.002,5.746,1.118,8.082,4.479,26.197,12.45,8.227,5.807,22.72,2.735,20.668,5.959,5.106,4.833,3.151,1.9,2.76,16.825,3.08,19.516,1.8,4.982,1.37,10.308,6.81,9.3,3.454,23.35,0.534,4.509,20.648,11.86,13.839,4.46,3.927,18.931,24.02,12.326,17.441,,2.151,2.965,15.56,3.183,7.222,8.393,5.796
2017,10.334,9.535,1.643,19.603,4.566,1.166,3.598,12.24,5.762,1.127,8.056,4.459,26.06,11.767,8.263,5.807,22.731,2.896,20.732,5.038,3.37,4.871,3.162,3.27,3.52,16.985,3.042,19.291,1.815,4.96,1.494,10.34,6.75,9.225,3.453,21.656,0.542,4.729,20.592,11.88,13.911,4.08,3.561,18.975,23.99,12.26,17.501,,2.168,3.74,15.33,3.64,7.508,8.52,6.279
2018,10.416,9.522,1.47,19.838,4.69,1.017,3.609,12.17,5.7,1.13,8.043,4.434,26.149,9.855,8.2,5.697,22.756,3.058,20.747,4.13,3.429,4.977,3.2,2.835,4.245,16.918,3.025,19.446,1.833,4.949,1.62,10.391,6.43,9.239,3.455,19.88,0.542,4.963,20.644,12.1,13.998,3.57,3.19,18.87,24.22,12.229,17.572,,2.203,3.723,15.46,3.571,7.465,5.03,6.784
2019,10.495,9.481,1.466,20.09,4.693,0.871,3.629,12.207,5.755,1.12,8.063,4.436,26.315,7.851,8.277,5.704,22.782,3.219,20.695,4.18,3.463,5.02,3.175,2.4,5.01,16.88,3.017,19.612,1.841,4.932,1.619,10.402,6.33,9.242,3.465,20.002,0.552,5.206,20.612,12.43,14.078,2.86,3.193,18.828,25.54,12.199,17.586,,2.214,3.707,15.13,3.554,7.236,5.54,7.37
