country,influence,posneg,count
Algeria,2.130687,2.949661181,1033
Benin,2.311715,4.089958159,956
Botswana,2.302172,4.030217186,1059
Burkina Faso,2.477626,4.322957198,1028
Burundi,2.503448,4.444827586,870
Cameroon,2.358356,4.112600536,1119
Cape Verde,2.434823977,4.322549952,1051
Egypt,2.129787234,3.09787234,940
Gabon,2.385604113,3.789203085,1167
Ghana,2.149213239,2.82962561,1843
Guinea,2.392156863,4.307843137,1020
Ivory Coast,2.14659197,4.066293184,1071
Kenya,2.245051838,4.0466541,2122
Lesotho,2.07653575,3.162134945,993
Liberia,2.104693141,4.148916968,1108
Madagascar,1.85824082,2.997438087,1171
Malawi,2.106126915,3.457330416,1828
Mali,2.556023589,4.49536647,1187
Mauritius,2.083022388,3.792910448,1072
Morocco,1.774396642,3.11752361,953
Mozambique,2.302139037,4.04171123,1870
Namibia,2.117546848,3.572402044,1174
Niger,2.521113244,4.469289827,1042
Nigeria,2.125615764,3.953694581,2030
Sao Tome and Principe,2.094101124,4.146067416,712
Senegal,2.408266129,3.888104839,992
Sierra Leone,2.504551365,4.325097529,769
South Africa,2.308635667,3.477261114,1957
Sudan,2.177587844,3.704653371,1053
Tanzania,2.252422481,4.002422481,2064
Togo,2.433054393,4.178870293,956
Tunisia,2.389275074,2.982125124,1007
Uganda,2.272104608,4.045454545,1606
Zambia,2.495238095,4.194285714,1050
Zimbabwe,2.090364223,3.218072845,2169
