Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Year
01/01/2000,4.625,6.31667,3.98333,4.175,4.925,2.74167,2.10833,3.60833,5.69167,3.75833,3.53333,4.25,4.65833,4.44167,3.05,2.68333,3.775,4.14167,5.15,3.33333,3.51667,2.81667,3.69167,3.03333,5.325,3.41667,4.83333,2.79167,4.11667,2.65,3.65,5.025,4.50833,3.75833,2.925,4.11667,2.99167,5.19167,4.225,4,3.73333,2.53333,3.86667,4.38333,3.325,2.80833,2.28333,5.09167,5.575,3.39167,3.75,2000
01/01/2001,5.18333,6.28333,4.725,4.75833,5.46667,3.81667,2.875,3.575,6.46667,4.425,4.09167,4.275,5.08333,5.43333,4.24167,3.325,4.26667,5.20833,5.6,3.75,4.20833,3.78333,5.15833,3.775,5.49167,4.49167,4.60833,3.15,5.19167,3.39167,4.23333,4.95833,4.875,5.625,2.83333,4.375,3.625,6.375,4.80833,4.44167,5.28333,3,4.51667,4.95833,4.36667,3.29167,3.28333,6.00833,5.39167,4.43333,3.81667,2001
01/01/2002,5.925,7.16667,6.14167,5.33333,6.75833,5.68333,4.4,4.26667,6.98333,4.95833,5.30833,4.05,5.61667,6.55,5.19167,4,5.08333,5.79167,5.99167,4.45833,4.775,5.21667,6.19167,4.46667,6.425,5.28333,4.55,3.68333,5.68333,4.49167,5.76667,5.48333,6.2,6.925,3.375,5.79167,4.625,7.475,5.53333,5.10833,6.43333,3.23333,5.125,6.35833,5.66667,3.83333,4.35833,7.075,6.45833,5.325,4.00833,2002
01/01/2003,5.98333,7.68333,5.78333,5.75833,6.89167,6.10833,5.45,4.46667,7.275,4.46667,5.14167,3.90833,5.56667,6.725,5.275,4.45,5.55,6.19167,6.28333,5.15,4.8,5.73333,7.09167,4.78333,6.14167,5.65833,4.74167,3.94167,5.28333,4.46667,5.84167,5.9,6.4,6.71667,3.475,6.21667,5.40833,8.01667,5.7,5.575,7.19167,3.475,5.50833,6.73333,5.56667,4.38333,4.34167,7.23333,6.56667,5.61667,4.325,2003
01/01/2004,5.575,7.41667,4.96667,5.58333,6.21667,5.56667,5.09167,4.3,8.08333,3.75,5.08333,3.29167,4.86667,6.175,5.4,4.525,5.50833,5.5,5.7,4.65833,4.61667,5.10833,6.95,4.58333,6.15833,5.875,4.50833,3.90833,4.45833,3.8,4.925,5.55833,5.79167,5.85833,3.38333,6.25,4.70833,7.34167,5.35833,5.25,7.44167,3.60833,5.35,6.01667,5.00833,3.675,4.08333,6.3,5.76667,4.975,3.84167,2004
01/01/2005,4.45833,6.93333,4.66667,5.25833,5.38333,5.075,4.8,4.50833,6.99167,2.875,5.68333,2.825,3.99167,5.71667,5.39167,4.29167,5.06667,5.875,7.05833,4.89167,4.475,4.8,6.79167,4.1,7.6,5.4,4.06667,3.75833,4.125,3.625,4.44167,5.18333,4.95833,5.6,3.30833,5.93333,4.325,6.19167,4.98333,5.10833,7.29167,3.55,5.525,5.45833,4.04167,3.45,3.825,5.59167,5.425,4.74167,3.54167,2005
01/01/2006,4,6.63333,4.30833,5.25,4.91667,4.275,4.425,3.90833,6.325,2.46667,5.075,2.55,3.425,4.6,5,3.7,4.425,5.725,4.13333,4.71667,4.175,4.7,7.03333,4.05833,6.375,4.875,3.34167,3.04167,4.06667,3.53333,4.61667,4.23333,4.53333,5.13333,3.1,5.41667,3.91667,5.39167,4.70833,5.21667,6.875,3,5.275,5,2.86667,3.71667,3.34167,5,5.2,4.675,3.00833,2006
01/01/2007,4.04167,6.25833,3.75,5.39167,5.30833,3.7,4.45,3.60833,5.95,3.3,4.90833,2.725,3.025,5.06667,4.625,3.71667,4.23333,5.36667,4.09167,4.69167,3.73333,4.51667,7.08333,4.58333,6.15,5.08333,3.35833,2.925,4.59167,3.525,4.20833,3.59167,4.43333,5.09167,3.01667,5.60833,3.96667,5.15833,4.55833,5.10833,6.06667,2.825,4.63333,4.36667,2.55833,3.94167,3.28333,4.6,4.825,4.825,2.69167,2007
01/01/2008,5.88333,6.475,5.79167,5.44167,7.3,4.875,5.65,5.03333,6.85,5.69167,6.78333,4.03333,5.03333,6.50833,5.94167,4.18333,4.60833,6.525,4.66667,5.4,4.525,5.33333,8.21667,5.43333,6.70833,6.21667,4.725,3.25833,6.88333,3.76667,5.45,4.3,5.40833,6.20833,3.10833,6.6,3.61667,6.275,5.35,7.6,7.29167,3.08333,6.51667,4.86667,3.34167,4.56667,4.275,5.29167,4.75,4.98333,2.93333,2008
01/01/2009,10.08333,7.98333,9.66667,7.725,11.54167,7.875,8.325,8.34167,10,9.55833,10.40833,6.65833,8.70833,10.18333,10.43333,6.4,6.89167,10.76667,6.79167,8.39167,7.55,8.075,13.13333,7.90833,9.35833,9.025,7.11667,4.65833,11.725,6.14167,8.93333,7.05,8.36667,11.03333,3.91667,10.14167,6.55833,10.79167,7.975,11.39167,11.40833,4.58333,10.11667,7.54167,7.25833,6.16667,6.83333,8.26667,8.3,8.95833,6.25833,2009
