Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Year
1970-01-01,29.74408907,37.33193983,13.89854284,18.72613285,14.7131897,19.35112887,15.72903441,29.16934092,18.04473627,15.23864561,15.96000723,17.99877158,14.27546511,22.21534758,33.05117316,18.88240366,22.7116982,26.7100624,39.46116957,16.85611609,18.84176699,17.45006566,21.01222137,18.17289652,17.4261117,18.47918867,20.57993035,18.50236529,21.85220607,17.28564855,18.00676229,34.17398279,15.59590518,19.08131607,23.79399538,25.82001949,21.64758032,12.19814658,25.96320299,13.80018022,16.24620465,14.00253786,19.78701353,31.93988576,22.88206883,12.41757982,18.59233406,13.11555771,43.95926672,19.91099387,55.67148296,1970
1971-01-01,28.15588051,39.98867965,14.23983719,17.79477031,15.03134828,18.92000426,14.99338633,28.19384014,15.83610763,15.5773276,16.88625448,18.7727726,14.97760056,21.75925975,32.18363236,18.7224679,23.48964005,26.82192007,39.54512977,20.27386199,18.76009806,17.4324415,21.47070792,17.77567542,17.88091469,18.84520726,20.89808741,18.28422795,26.52574792,17.5308202,17.1637666,35.32362819,15.09153583,19.06063331,25.38731235,25.14121464,21.53286633,12.5529883,25.5247581,14.0850588,16.54853171,13.86007879,19.01627459,32.64491559,23.17082364,12.10121651,18.40055896,13.37747559,44.04594272,18.99820764,55.25449223,1971
1972-01-01,29.650326,41.42156805,15.02950264,18.41956883,15.19142244,19.73705411,15.38467741,27.94729858,15.23691303,16.20017593,18.04115281,18.71410152,15.26129432,22.51259588,34.70760186,19.71952426,24.85602498,28.21837325,41.29316557,21.43034035,18.72191819,18.03645221,22.08755356,18.78389911,18.77441367,19.90125518,21.83220038,19.40857553,34.59324138,18.04055335,17.43536117,36.77360476,14.94578657,19.70579781,26.72657237,26.51137592,22.28820812,13.35323445,26.44929279,13.83878759,17.23503677,14.2962667,21.24262612,33.85659705,22.71317944,12.46785041,18.38339938,15.1680917,49.50526908,18.71619912,62.43203643,1972
1973-01-01,30.60422779,37.73584401,16.21879464,19.82994968,15.77830384,20.45979536,15.83343912,29.83307741,16.21096594,16.70968986,18.96254409,18.7220338,15.29032214,22.84215412,35.29280281,20.75858135,25.18038668,28.02994874,44.58315437,20.37695884,19.94592851,17.85869299,22.02885986,19.54377115,18.75502869,20.89439212,23.37576222,19.72581384,35.32607489,16.98207588,17.93206996,36.21228092,15.42425658,20.22380188,25.90841853,27.08228222,22.16461108,13.22342001,27.38256767,12.85285491,17.58514728,13.91173689,23.78747893,36.15860645,24.13979596,12.66535131,18.2755251,16.50333674,54.04215567,18.886722,66.91463552,1973
1974-01-01,29.99932236,37.4753955,16.5258985,18.61614072,14.37906038,19.86639411,14.77740518,28.67023422,13.71772314,14.97705044,18.34205551,17.40008266,14.94503037,22.37959025,33.85650945,19.57700587,25.29250881,27.88031436,45.07595337,17.69982035,18.53549911,16.35545902,20.87860526,19.10336436,18.22461496,20.36490695,22.49218977,18.88485552,34.17465018,15.42840354,16.34612141,35.85753486,14.33715016,19.05518305,26.57652811,27.09696693,22.63941758,11.96751584,25.69480468,12.12775562,16.06016317,13.47523469,21.42758082,34.82861412,24.6781412,11.22016923,17.09560737,14.97078696,55.26872174,18.05179516,65.2972015,1974
1975-01-01,29.29582666,38.62892805,16.72697264,16.83589087,14.46171989,20.03157632,13.52192433,26.47889085,11.15940915,14.78493634,18.05763941,17.16471493,15.78737126,21.73405891,33.3564594,19.1386643,25.24132738,26.31632823,41.10884483,14.99254694,16.2223847,15.94564625,21.03545601,18.50610146,17.02919957,20.9865578,22.4778032,18.61191124,33.79517658,15.18130196,14.44101398,33.7870207,13.57868445,17.16445636,25.37638037,26.39854198,22.50749162,11.48382642,24.46357864,11.13242011,14.68851404,15.99076855,20.97616239,32.35038412,25.08229198,10.77336869,16.08246528,15.15966442,53.11280212,17.64805774,66.32333666,1975
1976-01-01,28.93953268,39.82383295,18.66033802,17.90669521,14.90214352,20.94793472,14.08787442,27.38479614,11.11312202,15.52096925,18.74654715,17.27624932,15.08217828,22.40982786,33.65597668,20.15069388,26.29632385,28.62917013,46.22940453,17.14902467,17.49845354,16.80855341,21.20415466,19.62357174,17.84851437,22.15696594,25.66527299,20.12352004,34.36776787,16.15118506,15.96252303,35.30043404,14.63622449,18.9030055,28.81619057,27.57685094,24.40690468,11.22531777,25.93677578,11.23121235,17.19347036,18.19154562,23.46168368,32.70423315,24.12788751,12.10551322,16.81198477,14.87105371,55.4064754,18.30349732,77.73199256,1976
1977-01-01,29.54599258,44.54169084,20.82503331,18.85425657,15.85875207,21.63005017,13.95056233,27.26316449,11.70288558,15.60331848,20.05717852,18.15641522,14.58853218,22.51052338,34.33589816,20.17048995,26.68339909,28.42338857,51.04200609,17.21544932,16.2028353,16.60282432,20.17114714,19.90740147,19.22461765,22.89935945,26.77900048,20.04725615,34.99485367,16.21215794,15.42392729,34.31484823,14.58529135,19.02880961,30.64564825,27.25624788,25.15970351,11.23896499,25.47173689,11.57999489,18.0863657,17.87643324,23.16470716,34.9499422,24.21956419,11.85914131,16.82859804,15.92284716,53.95381446,18.84466092,87.85017768,1977
1978-01-01,27.82607416,48.1058633,19.59637516,18.91154059,15.11802399,21.12186879,14.22039308,27.19912733,11.20336676,16.05161525,20.11429735,18.22450575,14.59737708,22.67958039,33.92991085,19.9022229,28.97412692,28.49078592,52.20333357,15.85867171,16.78110787,16.30218886,20.47022267,20.09509144,20.14588424,22.67886573,27.23694241,19.70472538,31.34368667,15.20028206,15.1079474,32.40058253,14.3956646,17.90605356,34.3962923,27.27802925,26.42019103,11.76747839,25.47961398,10.63491319,17.46153735,18.7326194,23.23170131,36.47785697,24.93114599,11.64992218,16.07948619,15.15191652,50.27744989,19.0749209,85.73666141,1978
1979-01-01,28.85468436,43.35798802,21.2999712,17.72167799,15.56772549,20.67202002,13.5706243,28.70123975,9.300423154,16.27585338,20.63364807,19.2823585,14.28402681,21.81477177,35.04452705,21.69942209,31.05143321,28.19818028,49.30716417,14.43782342,17.50148942,13.98079497,20.37010552,18.97260561,20.10977474,22.39874194,28.88752128,20.17599301,30.66103674,14.2015031,14.91054224,31.57487625,13.26133058,19.00878401,38.12366698,27.12962619,26.92580732,11.65132196,26.58872964,9.753633376,17.09449465,18.44614408,22.31631421,36.88482729,25.83349386,10.60330325,16.86413655,15.38349637,51.97605445,18.86157658,92.5238936,1979
