date,new_deaths,total_deaths_per_million,people_vaccinated_per_hundred,people_vaccinated,people_fully_vaccinated
29/02/2020,1,0.003,NaN,NaN,NaN
01/03/2020,0,0.003,NaN,NaN,NaN
02/03/2020,5,0.018,NaN,NaN,NaN
03/03/2020,1,0.021,NaN,NaN,NaN
04/03/2020,4,0.033,NaN,NaN,NaN
05/03/2020,1,0.035,NaN,NaN,NaN
06/03/2020,2,0.041,NaN,NaN,NaN
07/03/2020,3,0.05,NaN,NaN,NaN
08/03/2020,4,0.062,NaN,NaN,NaN
09/03/2020,1,0.065,NaN,NaN,NaN
10/03/2020,6,0.083,NaN,NaN,NaN
11/03/2020,5,0.098,NaN,NaN,NaN
12/03/2020,10,0.127,NaN,NaN,NaN
13/03/2020,8,0.151,NaN,NaN,NaN
14/03/2020,7,0.171,NaN,NaN,NaN
15/03/2020,12,0.207,NaN,NaN,NaN
16/03/2020,27,0.287,NaN,NaN,NaN
17/03/2020,37,0.396,NaN,NaN,NaN
18/03/2020,60,0.573,NaN,NaN,NaN
19/03/2020,72,0.786,NaN,NaN,NaN
20/03/2020,106,1.1,NaN,NaN,NaN
21/03/2020,103,1.404,NaN,NaN,NaN
22/03/2020,128,1.782,NaN,NaN,NaN
23/03/2020,187,2.335,NaN,NaN,NaN
24/03/2020,243,3.054,NaN,NaN,NaN
25/03/2020,333,4.038,NaN,NaN,NaN
26/03/2020,417,5.271,NaN,NaN,NaN
27/03/2020,522,6.814,NaN,NaN,NaN
28/03/2020,713,8.921,NaN,NaN,NaN
29/03/2020,555,10.562,NaN,NaN,NaN
30/03/2020,707,12.652,NaN,NaN,NaN
31/03/2020,1079,15.841,NaN,NaN,NaN
01/04/2020,1637,20.68,NaN,NaN,NaN
02/04/2020,1549,25.259,NaN,NaN,NaN
03/04/2020,1428,29.481,NaN,NaN,NaN
04/04/2020,1620,34.269,NaN,NaN,NaN
05/04/2020,1623,39.067,NaN,NaN,NaN
06/04/2020,1763,44.279,NaN,NaN,NaN
07/04/2020,2606,51.982,NaN,NaN,NaN
08/04/2020,2152,58.343,NaN,NaN,NaN
09/04/2020,2256,65.012,NaN,NaN,NaN
10/04/2020,2214,71.557,NaN,NaN,NaN
11/04/2020,2104,77.776,NaN,NaN,NaN
12/04/2020,1883,83.343,NaN,NaN,NaN
13/04/2020,2001,89.258,NaN,NaN,NaN
14/04/2020,2481,96.592,NaN,NaN,NaN
15/04/2020,2624,104.348,NaN,NaN,NaN
16/04/2020,2187,110.813,NaN,NaN,NaN
17/04/2020,2104,117.033,NaN,NaN,NaN
18/04/2020,1943,122.776,NaN,NaN,NaN
19/04/2020,1967,128.591,NaN,NaN,NaN
20/04/2020,2286,135.348,NaN,NaN,NaN
21/04/2020,2452,142.597,NaN,NaN,NaN
22/04/2020,2465,149.883,NaN,NaN,NaN
