date,total_deaths_per_million,people_fully_vaccinated,new_deaths
2020-12-13,894.931,8973,1596
2020-12-14,899.944,9128,1696
2020-12-15,908.52,9444,2901
2020-12-16,919.407,9950,3683
2020-12-17,929.511,10758,3418
2020-12-18,938.169,12052,2929
2020-12-19,946.257,13196,2736
2020-12-20,951.279,14000,1699
2020-12-21,956.68,15642,1827
2020-12-22,966.526,18714,3331
2020-12-23,976.314,21938,3311
2020-12-24,984.762,23165,2858
2020-12-25,989.19,23294,1498
2020-12-26,994.842,24343,1912
2020-12-27,999.072,25143,1431
2020-12-28,1004.686,29584,1899
2020-12-29,1015.251,35047,3574
2020-12-30,1026.649,42652,3856
2020-12-31,1036.256,46126,3250
2021-01-01,1042.774,54946,2205
2021-01-02,1050.227,58011,2521
2021-01-03,1054.442,60578,1426
2021-01-04,1060.401,106128,2016
2021-01-05,1070.96,194492,3572
2021-01-06,1082.412,369147,3874
2021-01-07,1094.233,652879,3999
2021-01-08,1106.51,1020361,4153
2021-01-09,1115.975,1150204,3202
2021-01-10,1122.15,1219976,2089
2021-01-11,1127.639,1546551,1857
2021-01-12,1140.566,1863593,4373
2021-01-13,1152.352,2136548,3987
2021-01-14,1163.511,2274012,3775
2021-01-15,1174.791,2396337,3816
2021-01-16,1185.288,2469399,3551
2021-01-17,1191.147,2511596,1982
2021-01-18,1195.821,2740712,1581
2021-01-19,1202.924,3100938,2403
2021-01-20,1215.898,3525122,4389
2021-01-21,1228.027,3803415,4103
2021-01-22,1239.192,4016020,3777
2021-01-23,1249.606,4169038,3523
2021-01-24,1255.004,4258398,1826
2021-01-25,1260.271,4751924,1782
2021-01-26,1272.033,5337488,3979
2021-01-27,1284.047,5989427,4064
2021-01-28,1295.3,6551707,3807
2021-01-29,1305.833,7051054,3563
2021-01-30,1314.278,7296125,2857
2021-01-31,1319.986,7425472,1931
2021-02-01,1325.251,8009787,1781
2021-02-02,1335.704,8714924,3536
2021-02-03,1347.126,9555469,3864
2021-02-04,1358.604,10474678,3883
2021-02-05,1369.426,11441741,3661
2021-02-06,1377.487,11866412,2727
2021-02-07,1381.809,12024290,1462
2021-02-08,1386.095,12734011,1450
2021-02-09,1395.058,13636431,3032
2021-02-10,1404.993,14680633,3361
2021-02-11,1414.332,15780187,3159
2021-02-12,1422.721,16945392,2838
2021-02-13,1429.375,17518977,2251
2021-02-14,1432.777,17750365,1151
2021-02-15,1435.577,18295072,947
2021-02-16,1440.436,19086721,1644
2021-02-17,1447.552,20081870,2407
2021-02-18,1455.113,21061490,2558
2021-02-19,1462.551,22163521,2516
2021-02-20,1468.211,22848165,1915
2021-02-21,1471.788,23174910,1210
2021-02-22,1475.365,23983362,1210
2021-02-23,1482.04,25017022,2258
2021-02-24,1491.546,26258668,3216
2021-02-25,1498.679,27609063,2413
2021-02-26,1504.979,29002531,2131
2021-02-27,1509.451,29825569,1513
2021-02-28,1512.661,30124931,1086
2021-03-01,1516.554,30935239,1317
2021-03-02,1522.209,31904637,1913
2021-03-03,1529.665,33039894,2522
2021-03-04,1535.352,34292699,1924
2021-03-05,1540.419,35612616,1714
2021-03-06,1544.909,36485007,1519
2021-03-07,1546.984,36836579,702
2021-03-08,1549.109,37699742,719
2021-03-09,1554.315,38795009,1761
2021-03-10,1558.855,40076956,1536
2021-03-11,1563.414,41489191,1542
2021-03-12,1567.62,43030507,1423
2021-03-13,1570.479,44061506,967
2021-03-14,1572.001,44493559,515
2021-03-15,1574.088,45372577,706
2021-03-16,1577.786,46434831,1251
2021-03-17,1581.316,47579359,1194
2021-03-18,1586.137,48796285,1631
2021-03-19,1589.161,50028406,1023
2021-03-20,1591.437,50893727,770
2021-03-21,1593.524,51273979,706
2021-03-22,1595.162,52088269,554
2021-03-23,1597.952,53248693,944
2021-03-24,1602.274,54681520,1462
2021-03-25,1606.25,56340070,1345
2021-03-26,1609.667,58151726,1156
2021-03-27,1612.047,59321263,805
2021-03-28,1613.353,59874094,442
2021-03-29,1615.233,61157034,636
2021-03-30,1617.867,62826686,891
2021-03-31,1621.033,64777256,1071
2021-04-01,1624.285,67043353,1100
2021-04-02,1626.921,68872209,892
2021-04-03,1629.156,70035876,756
2021-04-04,1630.081,70408466,313
2021-04-05,1631.459,72015169,466
2021-04-06,1633.918,74103582,832
2021-04-07,1641.61,76418027,2602
2021-04-08,1644.601,78950736,1012
2021-04-09,1647.271,81402784,903
2021-04-10,1649.517,83067296,760
2021-04-11,1650.381,83872303,292
2021-04-12,1651.72,85601130,453
2021-04-13,1654.274,87322212,864
2021-04-14,1657.043,89251583,937
2021-04-15,1659.725,91203280,907
2021-04-16,1662.296,93126131,870
2021-04-17,1664.392,94310686,709
2021-04-18,1665.427,94894746,350
2021-04-19,1666.893,96361012,496
2021-04-20,1669.367,98198024,837
2021-04-21,1672.022,100253527,898
2021-04-22,1674.803,102309006,941
2021-04-23,1677.059,104216734,763
2021-04-24,1679.276,105411074,750
2021-04-25,1680.189,105909007,309
2021-04-26,1681.611,107345627,481
2021-04-27,1683.58,109139523,666
2021-04-28,1686.489,111110301,984
2021-04-29,1689.102,113094127,884
2021-04-30,1691.478,114944775,804
2021-05-01,1693.693,116119548,749
2021-05-02,1694.647,116706623,323
2021-05-03,1696.084,118109153,486
2021-05-04,1698.671,119869399,875
2021-05-05,1701.077,121683406,814
2021-05-06,1703.43,123507989,796
2021-05-07,1705.67,125302321,758
2021-05-08,1707.559,126396430,639
2021-05-09,1708.337,126836033,263
2021-05-10,1709.525,128014864,402
2021-05-11,1711.535,129472305,680
2021-05-12,1713.8,130917803,766
2021-05-13,1716.008,132332561,747
2021-05-14,1717.873,133776225,631
2021-05-15,1719.422,134772753,524
2021-05-16,1720.217,135261029,269
2021-05-17,1721.405,136277336,402
2021-05-18,1723.714,137448006,781
2021-05-19,1725.647,138633295,654
2021-05-20,1727.669,139817048,684
2021-05-21,1729.449,141031173,602
2021-05-22,1730.891,141807303,488
2021-05-23,1731.497,142155247,205
2021-05-24,1732.801,142911862,441
2021-05-25,1734.69,143756878,639
2021-05-26,1737.602,144602043,985
2021-05-27,1741.592,145406889,1350
2021-05-28,1743.174,146199625,535
2021-05-29,1744.143,146623127,328
2021-05-30,1744.581,146829112,148
2021-05-31,1745.116,146951977,181
2021-06-01,1747.017,147745455,643
2021-06-02,1748.672,148433002,560
2021-06-03,1750.537,149279338,631
2021-06-04,1752.066,150249612,517
2021-06-05,1753.792,151007808,584
2021-06-06,1754.291,151374202,169
2021-06-07,1755.208,152122404,310
2021-06-08,1756.118,152946686,308
2021-06-09,1757.522,153774245,475
2021-06-10,1758.714,154594892,403
2021-06-11,1760.269,155455814,526
2021-06-12,1761.061,156102183,268
2021-06-13,1761.392,156400494,112
2021-06-14,1761.951,157025492,189
2021-06-15,1762.905,157691613,323
2021-06-16,1764.038,158327775,383
2021-06-17,1764.921,158923173,299
2021-06-18,1766.695,159525183,600
2021-06-19,1767.198,159896410,170
2021-06-20,1767.431,160073254,79
2021-06-21,1768.2,160369227,260
2021-06-22,1769.217,160841269,344
2021-06-23,1770.358,161286788,386
2021-06-24,1771.366,161707782,341
2021-06-25,1772.926,162164249,528
2021-06-26,1773.402,162461121,161
2021-06-27,1773.624,162612605,75
2021-06-28,1774.094,162920353,159
2021-06-29,1775.067,163280940,329
2021-06-30,1775.953,163634660,300
2021-07-01,1776.79,163973484,283
2021-07-02,1778.073,164317635,434
2021-07-03,1778.318,164507234,83
2021-07-04,1778.436,164534839,40
2021-07-05,1778.794,164744624,121
2021-07-06,1779.699,165084533,306
2021-07-07,1780.665,165406173,327
2021-07-08,1781.404,165719230,250
2021-07-09,1782.77,166065590,462
2021-07-10,1783.001,166273424,78
2021-07-11,1783.358,166381986,121
2021-07-12,1784.053,166657317,235
2021-07-13,1785.108,166929867,357
2021-07-14,1786.075,167203892,327
2021-07-15,1787.127,167474075,356
2021-07-16,1788.466,167778604,453
2021-07-17,1788.679,167968480,72
2021-07-18,1788.96,168074427,95
2021-07-19,1789.545,168327720,198
2021-07-20,1790.402,168585819,290
2021-07-21,1791.476,168855396,363
2021-07-22,1792.327,169116350,288
2021-07-23,1793.959,169405607,552
2021-07-24,1794.361,169580780,136
2021-07-25,1794.662,169644866,102
2021-07-26,1795.401,169867382,250
2021-07-27,1796.755,170120554,458
2021-07-28,1797.887,170381187,383
2021-07-29,1798.827,170635963,318
2021-07-30,1801.443,170930830,885
2021-07-31,1801.964,171112743,176
2021-08-01,1802.652,171214255,233
2021-08-02,1803.666,171453856,343
2021-08-03,1805.399,171709147,586
2021-08-04,1807.013,171966329,546
2021-08-05,1808.567,172232795,526
2021-08-06,1811.917,172546348,1133
2021-08-07,1812.703,172737632,266
2021-08-08,1813.102,172856172,135
2021-08-09,1814.63,173144801,517
2021-08-10,1817.09,173441976,832
2021-08-11,1819.469,173739686,805
2021-08-12,1822.52,174055665,1032
2021-08-13,1825.65,174446979,1059
2021-08-14,1826.448,174691447,270
2021-08-15,1827.09,174854263,217
2021-08-16,1830.167,175210070,1041
2021-08-17,1833.194,175575527,1024
2021-08-18,1836.753,175956561,1204
2021-08-19,1842.036,176339592,1787
2021-08-20,1846.357,176820941,1462
2021-08-21,1848.063,177121262,577
2021-08-22,1848.713,177302625,220
2021-08-23,1852.663,177710478,1336
2021-08-24,1856.905,178127932,1435
2021-08-25,1861.495,178553143,1553
2021-08-26,1868.064,178988565,2222
2021-08-27,1873.216,179531870,1743
2021-08-28,1875.143,179876080,652
2021-08-29,1876.107,180083600,326
2021-08-30,1881.171,180521305,1713
2021-08-31,1885.439,180951078,1444
2021-09-01,1891.481,181364608,2044
2021-09-02,1900.37,181769248,3007
2021-09-03,1906.105,182262176,1940
2021-09-04,1908.035,182541660,653
2021-09-05,1909.301,182716407,428
2021-09-06,1911.098,182804112,608
2021-09-07,1917.294,183288218,2096
2021-09-08,1924.149,183694065,2319
2021-09-09,1933.691,184095764,3228
2021-09-10,1940.966,184599949,2461
2021-09-11,1943.446,184904176,839
2021-09-12,1944.569,185080034,380
2021-09-13,1950.945,185466462,2157
2021-09-14,1956.645,185847515,1928
2021-09-15,1964.741,186239997,2739
2021-09-16,1975.067,186635148,3493
2021-09-17,1982.321,187119971,2454
2021-09-18,1985.306,187398426,1010
2021-09-19,1986.501,187567446,404
2021-09-20,1993.32,187926846,2307
2021-09-21,2000.554,188274528,2447
2021-09-22,2008.508,188613134,2691
2021-09-23,2018.287,188944096,3308
2021-09-24,2025.63,189359570,2484
2021-09-25,2028.163,189590315,857
2021-09-26,2029.913,189737550,592
2021-09-27,2036.591,189961799,2259
2021-09-28,2044.034,190267896,2518
2021-09-29,2051.838,190581568,2640
2021-09-30,2060.192,190905875,2826
2021-10-01,2066.491,191291554,2131
2021-10-02,2069.004,191501045,850
2021-10-03,2070.609,191633133,543
2021-10-04,2076.32,191892724,1932
2021-10-05,2081.919,192152258,1894
2021-10-06,2089.782,192414217,2660
2021-10-07,2097.092,192676771,2473
2021-10-08,2102.425,192994404,1804
2021-10-09,2103.761,193164349,452
2021-10-10,2105.221,193270955,494
2021-10-11,2108.709,193494131,1180
2021-10-12,2115.476,193731364,2289
2021-10-13,2124.903,193963560,3189
2021-10-14,2131.379,194195504,2191
2021-10-15,2136.768,194477349,1823
2021-10-16,2138.53,194624570,596
2021-10-17,2139.949,194710194,480
2021-10-18,2145.172,194924102,1767
