Indicator,Country,Year,Tax (% of GDP
Environmental Taxes,Albania,2015,3.067206209
Environmental Taxes,Albania,2016,3.247162685
Environmental Taxes,Albania,2017,3.066373136
Environmental Taxes,Albania,2018,3.124865078
Environmental Taxes,Albania,2019,3.157133387
Taxes on Energy (including fuel for transport),Albania,2015,2.631314126
Taxes on Energy (including fuel for transport),Albania,2016,2.780726368
Taxes on Energy (including fuel for transport),Albania,2017,2.605369494
Taxes on Energy (including fuel for transport),Albania,2018,2.659072201
Taxes on Energy (including fuel for transport),Albania,2019,2.669496069
Taxes on Pollution,Albania,2015,0.124246023
Taxes on Pollution,Albania,2016,0.127673762
Taxes on Pollution,Albania,2017,0.125194586
Taxes on Pollution,Albania,2018,0.13601828
Taxes on Pollution,Albania,2019,0.155151366
Taxes on Resources,Albania,2015,0.002269145
Taxes on Resources,Albania,2016,0.003567068
Taxes on Resources,Albania,2017,0.003989394
Taxes on Resources,Albania,2018,0.00342219
Taxes on Resources,Albania,2019,0.003474022
Taxes on Transport (excluding fuel for transport),Albania,2015,0.309376915
Taxes on Transport (excluding fuel for transport),Albania,2016,0.335195486
Taxes on Transport (excluding fuel for transport),Albania,2017,0.331819663
Taxes on Transport (excluding fuel for transport),Albania,2018,0.326352408
Taxes on Transport (excluding fuel for transport),Albania,2019,0.329011929
Environmental Taxes,Antigua and Barbuda,1995,0.15
Environmental Taxes,Antigua and Barbuda,1996,0.2
Environmental Taxes,Antigua and Barbuda,1997,0.16
Environmental Taxes,Antigua and Barbuda,1998,0.15
Environmental Taxes,Antigua and Barbuda,1999,0.14
Environmental Taxes,Antigua and Barbuda,2000,0.19
Environmental Taxes,Antigua and Barbuda,2001,0.19
Environmental Taxes,Antigua and Barbuda,2002,0.19
Environmental Taxes,Antigua and Barbuda,2003,0.16
Environmental Taxes,Antigua and Barbuda,2004,0.81
Environmental Taxes,Antigua and Barbuda,2005,0.71
Environmental Taxes,Antigua and Barbuda,2006,0.65
Environmental Taxes,Antigua and Barbuda,2007,0.63
Environmental Taxes,Antigua and Barbuda,2008,0.66
Environmental Taxes,Antigua and Barbuda,2009,0.52
Environmental Taxes,Antigua and Barbuda,2010,0.63
Environmental Taxes,Antigua and Barbuda,2011,0.25
Environmental Taxes,Antigua and Barbuda,2012,0.27
Environmental Taxes,Antigua and Barbuda,2013,0.73
Environmental Taxes,Antigua and Barbuda,2014,0.23
Environmental Taxes,Antigua and Barbuda,2015,0.37
Environmental Taxes,Antigua and Barbuda,2016,0.23
Environmental Taxes,Antigua and Barbuda,2017,0.31
Environmental Taxes,Antigua and Barbuda,2018,0.31
Environmental Taxes,Antigua and Barbuda,2019,0.29
Environmental Taxes,Antigua and Barbuda,2020,0.22
Taxes on Energy (including fuel for transport),Antigua and Barbuda,1995,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,1996,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,1997,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,1998,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,1999,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2000,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2001,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2002,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2003,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2004,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2005,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2006,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2007,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2008,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2009,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2010,0.37
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2011,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2012,0.05
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2013,0.43
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2014,0.02
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2015,0.15
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2016,0.05
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2017,0.12
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2018,0.1
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2019,0.09
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2020,0.1
Taxes on Pollution,Antigua and Barbuda,1995,0
Taxes on Pollution,Antigua and Barbuda,1996,0
Taxes on Pollution,Antigua and Barbuda,1997,0
Taxes on Pollution,Antigua and Barbuda,1998,0
Taxes on Pollution,Antigua and Barbuda,1999,0
Taxes on Pollution,Antigua and Barbuda,2000,0
Taxes on Pollution,Antigua and Barbuda,2001,0
Taxes on Pollution,Antigua and Barbuda,2002,0
Taxes on Pollution,Antigua and Barbuda,2003,0
Taxes on Pollution,Antigua and Barbuda,2004,0
Taxes on Pollution,Antigua and Barbuda,2005,0
Taxes on Pollution,Antigua and Barbuda,2006,0
Taxes on Pollution,Antigua and Barbuda,2007,0
Taxes on Pollution,Antigua and Barbuda,2008,0
Taxes on Pollution,Antigua and Barbuda,2009,0
Taxes on Pollution,Antigua and Barbuda,2010,0
Taxes on Pollution,Antigua and Barbuda,2011,0
Taxes on Pollution,Antigua and Barbuda,2012,0
Taxes on Pollution,Antigua and Barbuda,2013,0
Taxes on Pollution,Antigua and Barbuda,2014,0
Taxes on Pollution,Antigua and Barbuda,2015,0
Taxes on Pollution,Antigua and Barbuda,2016,0
Taxes on Pollution,Antigua and Barbuda,2017,0
Taxes on Pollution,Antigua and Barbuda,2018,0
Taxes on Pollution,Antigua and Barbuda,2019,0
Taxes on Pollution,Antigua and Barbuda,2020,0
Taxes on Resources,Antigua and Barbuda,1995,0
Taxes on Resources,Antigua and Barbuda,1996,0
Taxes on Resources,Antigua and Barbuda,1997,0
Taxes on Resources,Antigua and Barbuda,1998,0
Taxes on Resources,Antigua and Barbuda,1999,0
Taxes on Resources,Antigua and Barbuda,2000,0
Taxes on Resources,Antigua and Barbuda,2001,0
Taxes on Resources,Antigua and Barbuda,2002,0
