year,country,value
2000,Austria,0.181919975
2001,Austria,0.175767491
2002,Austria,0.171767116
2003,Austria,0.207615887
2004,Austria,0.197120859
2005,Austria,0.236915446
2006,Austria,0.1902458
2007,Austria,0.149689016
2008,Austria,0.150460815
2009,Austria,0.19656637
2010,Austria,0.212224021
2011,Austria,0.250000964
2012,Austria,0.261839745
2013,Austria,0.194982215
2014,Austria,0.020671695
2015,Austria,0.029446801
2016,Austria,0.034241752
2017,Austria,0.01887504
2018,Austria,0.012778001
2019,Austria,0.017740096
2020,Austria,0.032454383
2000,Belgium,0.120682425
2001,Belgium,0.116545645
2002,Belgium,0.19301808
2003,Belgium,0.221742607
2004,Belgium,0.274210577
2005,Belgium,0.277160877
2006,Belgium,0.259261826
2007,Belgium,0.318218516
2008,Belgium,0.279598592
2009,Belgium,0.230144781
2010,Belgium,0.261490753
2011,Belgium,0.254891106
2012,Belgium,0.235534169
2013,Belgium,0.257441209
2014,Belgium,0.260487051
2015,Belgium,0.225766352
2016,Belgium,0.238966225
2017,Belgium,0.320018692
2018,Belgium,0.279072911
2019,Belgium,0.264183795
2020,Belgium,0.203588463
2000,Bulgaria,0.453892556
2001,Bulgaria,0.428390304
2002,Bulgaria,0.433714282
2003,Bulgaria,0.355394831
2004,Bulgaria,0.439193348
2005,Bulgaria,0.434118347
2006,Bulgaria,0.486639906
2007,Bulgaria,0.402810182
2008,Bulgaria,0.443463928
2009,Bulgaria,0.425166453
2010,Bulgaria,0.482277429
2011,Bulgaria,0.447692734
2012,Bulgaria,0.493448835
2013,Bulgaria,0.547910108
2014,Bulgaria,0.496324189
2015,Bulgaria,0.474032272
2016,Bulgaria,0.46527657
2017,Bulgaria,0.407492969
2018,Bulgaria,0.376199816
2019,Bulgaria,0.37725004
2020,Bulgaria,0.134335193
2000,Croatia,0.343416714
2001,Croatia,0.284493077
2002,Croatia,0.424701745
2003,Croatia,0.267727227
2004,Croatia,0.417704121
2005,Croatia,0.470222917
2006,Croatia,0.517924519
2007,Croatia,0.516994358
2008,Croatia,0.443610776
2009,Croatia,0.47551222
2010,Croatia,0.353910744
